layer,fidelity_cosine_mean,fidelity_cosine_ci_low,fidelity_cosine_ci_high,fidelity_fvu_mean,fidelity_fvu_ci_low,fidelity_fvu_ci_high,raw_effect_mean,raw_effect_ci_low,raw_effect_ci_high,sae_effect_mean,sae_effect_ci_low,sae_effect_ci_high,sae_minus_raw_mean,sae_minus_raw_ci_low,sae_minus_raw_ci_high,crr_mean,crr_ci_low,crr_ci_high
4,0.9967113492075159,0.9964746554153046,0.9969513039291132,0.13743531227123298,0.1260134421605599,0.1504138820780153,0.8153437166387635,0.42308919258077043,1.2174372398553017,0.5062702477190881,0.15546367619998372,0.8461887108682313,-0.30907346891967546,-0.636178165916425,-0.027020526862634325,0.6209286186765209,0.2633343866079467,0.9541002228107829
5,0.9967908207417729,0.9965945712050708,0.9969966290877479,0.1804687722041402,0.1666967168228329,0.1962622106201656,0.747658460797678,0.33114556595394273,1.1809133791879742,0.678762697464778,0.29588120686002045,1.0985274830949268,-0.06889576333290005,-0.27082087907468105,0.14028039510505388,0.9078512891308754,0.626263441392205,1.274822403209012
8,0.9980434827318528,0.9978900274030165,0.9981882705691594,0.06043178329166126,0.027153677173653263,0.21629725739385355,0.9314282175279153,0.5482459740858029,1.336278909081165,0.9074376056385756,0.5857432144166486,1.261643055782668,-0.02399061188933946,-0.2696884055836747,0.22425128484400256,0.9742431983078496,0.7489014216680766,1.3202079338716177
11,0.998733455081603,0.998652382190792,0.9988076038430473,0.3364485185439825,0.27015145978034083,0.4288090639739756,0.7072214027290828,0.38455993729886523,1.055981993529279,0.4076575606427903,0.13276875453995843,0.7093226357481748,-0.29956384208629283,-0.5018660832438632,-0.09192887473919151,0.5764214135342745,0.2849748577302787,0.8239364495183357
16,0.9982050196059231,0.9981159228943736,0.998286113011189,0.5383827126770173,0.43627925510662935,0.6657219831939083,0.552469616377222,0.3091485491363017,0.8080212341503739,0.34896139463243736,0.14637187204597418,0.5767632065667553,-0.20350822174478472,-0.39654090073214754,-0.023394758053522986,0.6316390698926132,0.3250241110818055,0.9396800250012581
