test,comparison,layer,unit,heldout_target,observed_mean,p_two_sided,n_units,n_pairs,n_targets,n_permutations,permutation_mode,seed,target_means,leave_one_target_means,loto_min,loto_max,loto_negative_count,loto_n
case_sign_flip,l4_sae_minus_raw,4,pair,,-0.3090734689196755,0.05419458054194581,52,52,13,10000,monte_carlo,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
target_sign_flip,l4_sae_minus_raw,4,target,,-0.30907346891967546,0.008056640625,13,52,13,8192,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,bank,-0.32928641340915704,0.01123046875,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,bark,-0.2581145190137033,0.01611328125,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,bat,-0.3380803444660377,0.00634765625,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,club,-0.300172202600091,0.01611328125,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,crane,-0.34011881276657446,0.00537109375,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,date,-0.28746190756535317,0.01611328125,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,jam,-0.34198037354999306,0.00439453125,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
leave_one_target_out,l4_sae_minus_raw,4,target,match,-0.32413264893084265,0.0146484375,12,48,12,4096,exact,42,"{""bank"":-0.06651813504589643,""bark"":-0.9205808677913414,""bat"":0.03900903763667252,""club"":-0.41588866475468944,""crane"":0.06347065724311318,""date"":-0.5684122051715429,""jam"":0.0858093866441364,""match"":-0.12836330878566937,""mole"":-0.27741486792947523,""pitcher"":-0.6238970666386036,""seal"":-0.10328642233341556,""spring"":-1.0689742679288288,""watch"":-0.032908371100240585}","{""bank"":-0.32928641340915704,""bark"":-0.2581145190137033,""bat"":-0.3380803444660377,""club"":-0.300172202600091,""crane"":-0.34011881276657446,""date"":-0.28746190756535317,""jam"":-0.34198037354999306,""match"":-0.32413264893084265,""mole"":-0.3117116856688588,""pitcher"":-0.2828381691097648,""seal"":-0.32622238946853044,""spring"":-0.24574840233557935,""watch"":-0.332087227071295}",-0.34198037354999306,-0.24574840233557935,13,13
