layer,n_all_arms_success,n_invariant_gate_fail,n_gate_activation_fail,n_gate_margin_fail,n_gate_score_fail,n_gate_clt_equiv_fail,n_gate_identity_fail,max_gate_margin_abs_diff,max_gate_score_abs_diff_exp,max_gate_score_abs_diff_other,max_gate_clt_effect_abs_diff_C,max_gate_clt_effect_abs_diff_D,max_gate_identity_abs_effect_raw,max_gate_identity_abs_effect_clt
4,104,4,0,2,1,2,0,0.00013841072465936577,0.00011124217252955759,7.563916753738908e-05,0.0004560975313845361,0.0002412351277989444,7.113301891692458e-05,8.1568506714369e-05
5,104,1,0,0,0,0,1,4.246503351801323e-05,3.898519046430238e-05,2.5172363526948516e-05,6.201254364857078e-05,5.132106251171109e-05,0.00010146944198741181,3.9706864737532044e-05
8,104,0,0,0,0,0,0,3.376130720944559e-05,4.75606609082746e-05,4.775037927906567e-05,5.05176295311216e-05,5.286378444768758e-05,3.5332142505950515e-05,5.613125705483668e-05
11,104,0,0,0,0,0,0,3.228669155852515e-05,2.1530292583449295e-05,2.9591624074676304e-05,3.545240104596559e-05,4.570165871342624e-05,5.2302001988024927e-05,2.509856525456655e-05
16,104,0,0,0,0,0,0,2.9016807692627822e-05,2.478246070403145e-05,1.8291066053333083e-05,5.902223072329349e-05,4.466731042551686e-05,3.0085643963673192e-05,3.651235659773988e-05
