layer,n_rows_strict_gate,n_pairs_strict_gate,d_CA_mean,d_CA_ci_low,d_CA_ci_high,target_sign_flip_observed_mean,target_sign_flip_p_two_sided,target_sign_flip_n_units,target_sign_flip_n_permutations,target_sign_flip_permutation_mode,seed
4,100,52,-0.32657311766096486,-0.6174581822896223,-0.052054644391454845,-0.32657311766096486,0.004150390625,13,8192,exact,42
8,104,52,-0.02399061188933946,-0.29440737378526577,0.23180005927050895,-0.02399061188933947,0.85595703125,13,8192,exact,42
