layer,pair_id,direction,target,gate_activation_pass,gate_margin_pass,gate_score_pass,gate_clt_equiv_pass,gate_identity_pass,gate_activation_ratio,gate_margin_abs_diff,gate_score_abs_diff_exp,gate_score_abs_diff_other,gate_clt_effect_abs_diff_C,gate_clt_effect_abs_diff_D,gate_identity_abs_effect_raw,gate_identity_abs_effect_clt
4,match-lex-2,b_to_a,match,True,False,True,True,True,1.7118777854017135e-09,0.0001129248645534986,3.817912432957371e-05,7.474574022392488e-05,4.5507755897844504e-05,3.503687793582344e-05,3.0889354170504646e-05,6.1513116094147335e-06
4,bark-lex-0,a_to_b,bark,True,True,True,False,True,1.8612160241743785e-09,5.011840417079583e-05,2.5520763366593258e-05,7.563916753738908e-05,0.00045475730354738175,0.0002412351277989444,1.6979537102557174e-05,6.543168484363093e-06
4,bark-lex-3,b_to_a,bark,True,True,True,False,True,1.6330638733263666e-09,1.4661796079451506e-05,1.2361869014654303e-05,2.2999270647972025e-06,0.0004560975313845361,7.065995041966033e-05,0.0,2.3028637860633694e-05
4,crane-lex-1,b_to_a,crane,True,False,False,True,True,1.007264010714541e-09,0.00013841072465936577,0.00011124217252955759,2.7168552129364087e-05,2.212280938884703e-05,2.2955891179066157e-06,0.0,2.1530043307294022e-05
5,match-lex-2,b_to_a,match,True,True,True,True,False,1.7133580454066036e-09,2.9446193566151635e-05,8.68660557884482e-06,2.0759587987306816e-05,1.456172317482185e-05,1.1194517161250417e-05,0.00010146944198741181,2.940014274699365e-06
