layer,pair_id,target,effect_A,effect_C,sae_minus_raw,included_in_robustness
4,bank-lex-0,bank,0.2942803566096339,-0.2565276197704729,-0.5508079763801068,True
4,bank-lex-1,bank,0.5998565053364731,0.17169409259655222,-0.42816241273992084,True
4,bank-lex-2,bank,-0.31020629867477467,-0.8207345820920513,-0.5105282834172766,True
4,bank-lex-3,bank,-1.7414362173149884,-0.5179799369383384,1.22345628037665,True
4,bark-lex-0,bark,5.074405072613537,2.443272659480771,-2.6311324131327654,True
4,bark-lex-1,bark,1.985964617853258,0.8415196665688964,-1.1444449512843615,True
4,bark-lex-2,bark,3.7036656930084844,2.299611160835618,-1.4040545321728666,True
4,bark-lex-3,bark,0.4112145317274494,1.9084383924806865,1.497223860753237,True
4,bat-lex-0,bat,0.31015647339854313,-1.0534068557412244,-1.3635633291397675,True
4,bat-lex-1,bat,2.5010862467996615,2.6497195359357018,0.14863328913604024,True
4,bat-lex-2,bat,-0.5860905646893966,0.3220446399319914,0.908135204621388,True
4,bat-lex-3,bat,1.2713230294845954,1.7342133394918782,0.46289031000728276,True
4,club-lex-0,club,0.9446924570919086,1.3109280487681478,0.3662355916762392,True
4,club-lex-1,club,0.7158367049983658,0.05903129612774061,-0.6568054088706252,True
4,club-lex-2,club,2.688835232426001,2.7972689219250184,0.10843368949901722,True
4,club-lex-3,club,1.67130485895286,0.1898636545597716,-1.4814412043930885,True
4,crane-lex-0,crane,-0.12081127856932072,0.0006993237908479166,0.12151060236016864,True
4,crane-lex-1,crane,-0.3276443185208535,-0.46363388494973945,-0.13598956642888593,True
4,crane-lex-2,crane,0.827203454334184,0.5645865643284793,-0.26261689000570465,True
4,crane-lex-3,crane,0.06176986803899087,0.5928865505205851,0.5311166824815943,True
4,date-lex-0,date,0.1657559461228817,-2.6329812160691137,-2.7987371621919954,True
4,date-lex-1,date,1.6151037299498467,1.0875476321292208,-0.527556097820626,True
4,date-lex-2,date,-0.9446457779834736,-0.013950758231816351,0.9306950197516572,True
4,date-lex-3,date,-0.11791990451171319,0.0040746037006424984,0.12199450821235569,True
4,jam-lex-0,jam,0.7654862421674435,1.1258662164067594,0.3603799742393159,True
4,jam-lex-1,jam,0.27669620084983526,0.8666475777024965,0.5899513768526612,True
4,jam-lex-2,jam,0.4262130450474948,0.6103682722818506,0.18415522723435584,True
4,jam-lex-3,jam,0.5077912416341119,-0.2836268683357033,-0.7914181099698152,True
4,match-lex-0,match,-0.0374364021242477,1.025602835054293,1.0630392371785407,True
4,match-lex-1,match,0.0740471757091572,-0.9809651956189325,-1.0550123713280897,True
4,match-lex-2,match,0.8029581252055138,1.2308454968701552,0.4278873716646414,True
4,match-lex-3,match,1.9903222175260504,1.0409685762424847,-0.9493536412835657,True
4,mole-lex-0,mole,0.34211490422556823,0.8796309872762653,0.5375160830506971,True
4,mole-lex-1,mole,-2.5145119257645807,-1.1954826148861986,1.3190293108783822,True
4,mole-lex-2,mole,-0.5285582693122741,0.36037227456679455,0.8889305438790687,True
4,mole-lex-3,mole,1.3062125910161684,-2.549050927730301,-3.855263518746469,True
4,pitcher-lex-0,pitcher,1.6654963275875465,0.661466628890639,-1.0040296986969075,True
4,pitcher-lex-1,pitcher,-0.41514052881286956,-1.1875796935943312,-0.7724391647814617,True
4,pitcher-lex-2,pitcher,1.7223189253238855,1.1306669190579837,-0.5916520062659019,True
4,pitcher-lex-3,pitcher,0.09344383110879972,-0.03406692221243812,-0.12751075332123785,True
4,seal-lex-0,seal,-1.1902283232583564,-0.8761530081751872,0.3140753150831692,True
4,seal-lex-1,seal,1.708192797790483,0.3086416792522444,-1.3995511185382385,True
4,seal-lex-2,seal,0.015983922241467052,0.102772199843983,0.08678827760251595,True
4,seal-lex-3,seal,-0.428704380692571,0.15683673078831184,0.5855411114808828,True
4,spring-lex-0,spring,-0.28330750658578996,0.22608236503222834,0.5093898716180183,True
4,spring-lex-1,spring,4.345239547077659,1.7355748820159365,-2.6096646650617226,True
4,spring-lex-2,spring,1.0950394683140066,0.4954826237113483,-0.5995568446026582,True
4,spring-lex-3,spring,1.0101360496802014,-0.5657408605804934,-1.5758769102606949,True
4,watch-lex-0,watch,1.7143449670900526,2.5019914490338313,0.7876464819437787,True
4,watch-lex-1,watch,2.2853111122958563,0.8037821863140602,-1.481528925981796,True
4,watch-lex-2,watch,1.8156846867434142,1.771381677533049,-0.04430300921036512,True
4,watch-lex-3,watch,3.139677033299441,3.7462757778992013,0.6065987445997605,True
8,bank-lex-0,bank,1.5086110440104905,0.4844044100838443,-1.0242066339266462,True
8,bank-lex-1,bank,2.1946825812979878,-0.4073852696673641,-2.602067850965352,True
8,bank-lex-2,bank,-0.6561466907218629,-0.49936342332075023,0.1567832674011127,True
8,bank-lex-3,bank,-1.5760306229235357,-1.0611570765807552,0.5148735463427805,True
8,bark-lex-0,bark,4.350552211889193,3.4298503620370187,-0.9207018498521746,True
8,bark-lex-1,bark,-0.018892576612191903,0.0823045926264907,0.1011971692386826,True
8,bark-lex-2,bark,2.3462241646515465,1.3911553573922193,-0.9550688072593272,True
8,bark-lex-3,bark,1.1355336156838804,1.2988520262750018,0.1633184105911214,True
8,bat-lex-0,bat,1.1760629282950812,1.810612529038825,0.6345496007437439,True
8,bat-lex-1,bat,0.6578659563050273,1.3894685190014409,0.7316025626964135,True
8,bat-lex-2,bat,0.9195710824170127,0.0565109840025646,-0.8630600984144481,True
